pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
44231,"The Miraculous Medal: Its Origin, History, Circulation, Results","Aladel, Jean-Marie, 1800-1865",1800,1865,BX,"Mary, Blessed Virgin, Saint; Labouré, Catherine, Saint, 1806-1876; Miraculous Medal",Category: Biographies; Category: French Literature; Category: History - Religious; Category: Religion/Spirituality,599329,101581
37693,"Monks, Popes, and their Political Intrigues","Alberger, John, 1809-1889",1809,1889,BX,Catholic Church; Church and state; Catholic Church -- United States,Category: History - Modern (1750+); Category: History - Religious; Category: Politics,644423,109224
23860,The Young Man's Guide,"Alcott, William A. (William Andrus), 1798-1859",1798,1859,BJ,Conduct of life; Young men,Sociology; Category: How To ...,520552,88229
9054,The Young Woman's Guide,"Alcott, William A. (William Andrus), 1798-1859",1798,1859,BJ; HQ,Conduct of life; Young women,Category: How To ...; Category: Parenthood & Family Relations; Category: Teaching & Education,424475,71944
22105,Christianity and Ethics: A Handbook of Christian Ethics,"Alexander, Archibald B. D. (Archibald Browning Drysdale), 1855-1931",1855,1931,BJ,Christian ethics,Category: Philosophy & Ethics; Category: Religion/Spirituality,550645,93329
77075,Man's supreme inheritance,"Alexander, F. Matthias (Frederick Matthias), 1869-1955",1869,1955,BF,Consciousness; Mental healing; Evolution -- Psychological aspects,Category: Health & Medicine; Category: Psychiatry/Psychology; Category: Teaching & Education,537386,91082
37883,"Steve P. Holcombe, the Converted Gambler: His Life and Work","Alexander, Gross, 1852-1915",1852,1915,BV,"Holcombe, Steve P., 1835-; Methodists -- United States -- Biography",Category: Biographies; Category: American Literature; Category: Religion/Spirituality,650540,110261
58359,"The Mythology of All Races, Vol. 11: Latin-American","Alexander, Hartley Burr, 1873-1939",1873,1939,BL,Mythology,"Category: Mythology, Legends & Folklore",926341,157006
40775,Expositor's Bible: The Epistles of St. John,"Alexander, William, 1824-1911",1824,1911,BS,Bible. Epistles of John -- Commentaries,Category: History - Religious; Category: Religion/Spirituality,720317,122087
19082,The Destiny of the Soul: A Critical History of the Doctrine of a Future Life,"Alger, William Rounseville, 1822-1905",1822,1905,BT,Future life -- Christianity -- History of doctrines; Future life -- Christianity -- Bibliography,Category: History - Other; Category: Philosophy & Ethics; Category: Religion/Spirituality,2422613,410612
16955,Three translations of the Koran (Al-Qur'an) side by side,"Ali, Abdullah Yusuf, 1872-1952 [Translator]",1872,1952,BP,Qur'an,Islam; Harvard Classics; Category: Religion/Spirituality,2833317,480223
