pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est
792,"Wieland; Or, The Transformation: An American Tale","Brown, Charles Brockden, 1771-1810",1771,1810,PS,"Horror tales; Psychological fiction; Epistolary fiction; Gothic fiction; Combustion, Spontaneous -- Fiction; Religious fanaticism -- Fiction; Siblings -- Fiction; Fathers -- Death -- Fiction; Radicals -- Fiction; Pennsylvania -- History -- Colonial period, ca. 1600-1775 -- Fiction",Best Books Ever Listings; Gothic Fiction,501539,85006
68577,The mother,"Buck, Pearl S. (Pearl Sydenstricker), 1892-1973",1892,1973,PS,China -- Fiction; Women peasants -- Fiction; Communism -- Fiction,Nobel Prizes in Literature,426884,72353
59981,The Village,"Bunin, Ivan Alekseevich, 1870-1953",1870,1953,PG,"Russia -- Fiction; Brothers -- Fiction; Peasants -- Russia -- Fiction; Russia -- History -- Revolution, 1905-1907 -- Fiction",Nobel Prizes in Literature,435298,73779
1550,"A Lady of Quality | Being a Most Curious, Hitherto Unknown History, as Related by Mr. Isaac Bickerstaff but Not Presented to the World of Fashion Through the Pages of The Tatler, and Now for the First Time Written Down","Burnett, Frances Hodgson, 1849-1924",1849,1924,PS,Nobility -- Fiction,"Historical Fiction; Bestsellers, American, 1895-1923",479738,81311
2514,T. Tembarom,"Burnett, Frances Hodgson, 1849-1924",1849,1924,PS,City and town life -- Fiction; Man-woman relationships -- Fiction,"Bestsellers, American, 1895-1923",1060802,179796
62,A princess of Mars,"Burroughs, Edgar Rice, 1875-1950",1875,1950,PS,"Science fiction; Mars (Planet) -- Fiction; Princesses -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",Science Fiction; Best Books Ever Listings,399822,67766
1906,"Erewhon; Or, Over the Range","Butler, Samuel, 1835-1902",1835,1902,PR,Satire; Utopias -- Fiction; Utopian fiction,New Zealand; Best Books Ever Listings,492581,83488
8771,Jurgen: A Comedy of Justice,"Cabell, James Branch, 1879-1958",1879,1958,PS,Historical fiction; Fantasy fiction; Middle Ages -- Fiction; Allegories,Fantasy; Banned Books from Anne Haight's list,565697,95880
8407,The Christian: A Story,"Caine, Hall, Sir, 1853-1931",1853,1931,PR,Religious fiction,"Bestsellers, American, 1895-1923",1136198,192575
25570,The Manxman : a novel,"Caine, Hall, Sir, 1853-1931",1853,1931,PR,Isle of Man -- Fiction,"Bestsellers, American, 1895-1923",1155527,195852
5748,In Secret,"Chambers, Robert W. (Robert William), 1865-1933",1865,1933,PS,"World War, 1914-1918 -- Fiction","Bestsellers, American, 1895-1923",456120,77308
13813,The Common Law,"Chambers, Robert W. (Robert William), 1865-1933",1865,1933,PS,New York (N.Y.) -- Fiction; Man-woman relationships -- Fiction,"Bestsellers, American, 1895-1923",732436,124141
1695,The Man Who Was Thursday: A Nightmare,"Chesterton, G. K. (Gilbert Keith), 1874-1936",1874,1936,PR,Fantasy fiction; Detective and mystery stories; London (England) -- Fiction; Anarchists -- Fiction; Allegories; Police -- Fiction,Best Books Ever Listings,355410,60238
14885,Red Pottage,"Cholmondeley, Mary, 1859-1925",1859,1925,PR,Fiction,"Bestsellers, American, 1895-1923",678642,115024
3739,A Far Country — Complete,"Churchill, Winston, 1871-1947",1871,1947,PS,Upper class families -- Fiction; Religion and sociology -- Fiction; Ethics -- Fiction,"Bestsellers, American, 1895-1923",992906,168289
5382,A Modern Chronicle — Complete,"Churchill, Winston, 1871-1947",1871,1947,PS,Marriage -- Fiction; United States -- Social life and customs -- 20th century -- Fiction; Women -- Social conditions -- 20th century -- Fiction,"Bestsellers, American, 1895-1923",965121,163579
