pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
44380,The Buccaneer Chief: A Romance of the Spanish Main,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Buccaneers -- Fiction,Category: Historical Novels; Category: Romance; Category: Adventure; Category: French Literature,628075,106453
45403,The Flying Horseman,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction,Category: Historical Novels; Category: Adventure,365604,61966
40602,The Freebooters: A Story of the Texan War,"Aimard, Gustave, 1818-1883",1818,1883,PQ,"Texas -- History -- Revolution, 1835-1836 -- Fiction; Western stories",Category: Historical Novels; Category: Adventure,616164,104434
42532,The Gold-Seekers: A Tale of California,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Western stories; Gold mines and mining -- Fiction; California -- Fiction,Category: Historical Novels; Category: Adventure; Category: Novels,450541,76362
45401,The Guide of the Desert,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction; Western stories,Category: Adventure; Category: Novels; Category: French Literature,394893,66931
42742,The Indian Chief: The Story of a Revolution,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Jesuits -- Fiction; Adventure stories; Pioneers -- Fiction; Indians -- Warfare -- Fiction; Missions -- Mexico -- Fiction,Category: Historical Novels; Category: Adventure; Category: Novels,475816,80646
44196,The Indian Scout: A Story of the Aztec City,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Aztecs -- Fiction,Category: Historical Novels; Category: Adventure,735222,124613
45402,The Insurgent Chief,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction,Category: Historical Novels; Category: Adventure,518862,87942
43838,The Pearl of the Andes: A Tale of Love and Adventure,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Love stories; Adventure stories; Andes Region -- Fiction,Category: Romance; Category: Adventure; Category: Novels,360579,61115
42117,The Pirates of the Prairies: Adventures in the American Desert,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction; Western stories,Category: Historical Novels; Category: Adventure,525398,89050
43925,The Prairie Flower: A Tale of the Indian Border,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction; Western stories,Category: Historical Novels; Category: Adventure; Category: Novels,585233,99192
44448,The Queen of the Savannah: A Story of the Mexican War,"Aimard, Gustave, 1818-1883",1818,1883,PQ,"Mexico -- History -- Wars of Independence, 1810-1821 -- Fiction",Category: Historical Novels; Category: Adventure,752322,127512
44421,The Rebel Chief: A Tale of Guerilla Life,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction,Category: Historical Novels; Category: Adventure,703043,119159
45047,The Red River Half-Breed: A Tale of the Wild North-West,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction; Western stories,Category: Adventure; Category: Novels,446728,75716
42834,The Red Track: A Story of Social Life in Mexico,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Western stories; Mexico -- Fiction,Category: Adventure; Category: Novels,505550,85686
44454,The Smuggler Chief: A Novel,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction; Adventure stories; Smugglers -- Fiction,Category: Adventure; Category: Novels,607563,102976
42535,The Tiger-Slayer: A Tale of the Indian Desert,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Indians of North America -- Fiction; Adventure stories; Frontier and pioneer life -- Fiction; Mexico -- Fiction,Category: Adventure; Category: Novels,570283,96658
42115,The Trail-Hunter: A Tale of the Far West,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction; Western stories,Category: Adventure; Category: Novels,620706,105204
42119,The Trapper's Daughter: A Story of the Rocky Mountains,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Western stories; Mountain life -- Fiction; Rocky Mountains -- Fiction,Category: Adventure; Category: Novels,612956,103890
43473,"The Trappers of Arkansas; or, The Loyal Heart","Aimard, Gustave, 1818-1883",1818,1883,PQ,Western stories; Frontier and pioneer life -- West (U.S.) -- Fiction; Arkansas -- Fiction; Trappers -- Fiction,Category: Historical Novels; Category: Adventure; Category: American Literature,541131,91717
46276,The Treasure of Pearls: A Romance of Adventures in California,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Western stories; California -- Fiction,Category: Historical Novels; Category: Romance; Category: Adventure,458920,77783
41172,The White Scalper: A Story of the Texan War,"Aimard, Gustave, 1818-1883",1818,1883,PQ,"Texas -- History -- Revolution, 1835-1836 -- Fiction; Western stories",Category: Historical Novels; Category: Adventure,581755,98602
39401,The frontiersmen,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Frontier and pioneer life -- New York (State) -- Fiction; Indians of North America -- New York (State) -- Fiction; Iroquois Indians -- Fiction,Category: Historical Novels; Category: Adventure; Category: Novels,440123,74597
